time,FR,HR,HU,AT,BE,BG,CH,CZ,DE,DK,EE,IE,ES,FI,PT,RO,SE,SI,SK,UK,NO,IT,LT,LU,LV,MT,NL,PL
1980-12-31,0.1332742486338798,0.13736202185792348,0.1280535063752277,0.13370059198542805,0.10971186247723132,0.15031147540983605,0.14681193078324226,0.11362739071038251,0.11329861111111111,0.11429508196721311,0.10576867030965392,0.1064568533697632,0.17732741347905281,0.09809722222222222,0.1769038023679417,0.13125717213114754,0.10421618852459016,0.1276256830601093,0.11636259107468123,0.10674112021857923,0.10354348816029144,0.15635416666666666,0.09564503642987249,0.10929963570127504,0.09986054189435337,0.18571971766848816,0.11144182604735883,0.10273201275045538
1981-12-31,0.13068858447488585,0.14657191780821918,0.13623173515981737,0.13466746575342464,0.10491963470319635,0.1542389269406393,0.1456326484018265,0.11505787671232877,0.11007842465753426,0.11529817351598175,0.10412214611872146,0.1041433789954338,0.17831552511415527,0.09067442922374429,0.17794041095890412,0.13495753424657536,0.102362100456621,0.13857374429223743,0.12233344748858449,0.10620319634703197,0.09934098173515982,0.16235125570776257,0.10150319634703196,0.10708687214611873,0.1027582191780822,0.1888450913242009,0.10588333333333333,0.10792111872146119
1982-12-31,0.13636392694063926,0.14301084474885845,0.13746061643835616,0.13938892694063929,0.1188964611872146,0.15175285388127854,0.1490291095890411,0.12860182648401824,0.12308550228310502,0.12168401826484018,0.11129771689497717,0.1088236301369863,0.17362705479452054,0.095925,0.1756296803652968,0.14123664383561643,0.10454817351598174,0.13366381278538814,0.13153515981735162,0.11014680365296803,0.1008884703196347,0.15765285388127853,0.10896678082191781,0.11967922374429225,0.10919075342465753,0.18042374429223743,0.11933367579908677,0.12123858447488584
1983-12-31,0.13874006849315068,0.14991723744292237,0.13906050228310504,0.14064098173515982,0.11690022831050229,0.1565708904109589,0.14962682648401826,0.11968093607305935,0.1152425799086758,0.11222374429223744,0.10253881278538812,0.10545091324200913,0.17764543378995434,0.08806278538812785,0.17110091324200913,0.14157534246575343,0.09414212328767123,0.14369714611872147,0.12617043378995432,0.10822534246575342,0.08855490867579908,0.16245707762557077,0.10311426940639269,0.115887899543379,0.10184189497716895,0.1858837899543379,0.11599303652968038,0.11092351598173517
1984-12-31,0.1371549408014572,0.138507058287796,0.13076024590163934,0.1371051912568306,0.11171675774134791,0.1487004781420765,0.15250352914389798,0.11522882513661202,0.11222916666666667,0.11352174408014572,0.10548497267759563,0.11228927595628416,0.17275876593806921,0.09172085610200365,0.17195708105646632,0.1352818761384335,0.09660667122040073,0.1304308970856102,0.120738160291439,0.11206261384335155,0.09560075136612022,0.1572420309653916,0.10264105191256831,0.11141609744990892,0.10342566029143897,0.18773360655737703,0.10989799635701275,0.1089368169398907
1985-12-31,0.14427819634703196,0.1463716894977169,0.13665376712328767,0.14021575342465753,0.11761632420091324,0.15513493150684932,0.15695707762557076,0.11956335616438356,0.11739805936073058,0.11354463470319634,0.1040054794520548,0.10557842465753424,0.17806552511415524,0.09429977168949773,0.1742384703196347,0.1420791095890411,0.10235068493150684,0.13659554794520548,0.12219703196347032,0.10704109589041096,0.10187819634703196,0.16088321917808218,0.10322020547945206,0.12143116438356165,0.10468047945205479,0.18679714611872147,0.11201244292237443,0.10814543378995434
1986-12-31,0.13707374429223745,0.14407762557077627,0.14145536529680366,0.14264029680365298,0.11788356164383562,0.15501244292237445,0.15229828767123288,0.12174965753424657,0.11678173515981735,0.11706015981735159,0.10898013698630138,0.11086095890410959,0.17459817351598172,0.09221381278538812,0.17434098173515983,0.1431865296803653,0.10233607305936074,0.13770057077625572,0.1319068493150685,0.111275,0.10051974885844749,0.15969600456621003,0.10516141552511415,0.11568767123287671,0.10579086757990867,0.18344714611872148,0.11763801369863014,0.11539703196347033
1987-12-31,0.1345923515981735,0.1445525114155251,0.1346255707762557,0.13586598173515982,0.11405490867579908,0.149911301369863,0.1487672374429224,0.11552454337899544,0.11236495433789954,0.11388721461187215,0.10992488584474885,0.1061810502283105,0.17147374429223744,0.09030958904109589,0.16776061643835619,0.13742123287671232,0.09925353881278538,0.13634189497716895,0.12498196347031965,0.10661061643835616,0.09996301369863014,0.1607304794520548,0.11174326484018264,0.11550924657534246,0.11131472602739725,0.18718116438356167,0.11259520547945207,0.11192716894977169
1988-12-31,0.1352907559198543,0.1476080373406193,0.13853210382513662,0.13809733606557378,0.10981466302367941,0.1538818306010929,0.14512295081967214,0.11979075591985427,0.11268556466302368,0.11544581056466302,0.10585826502732242,0.10840311930783242,0.17604462659380693,0.09355783242258653,0.17436065573770493,0.13823531420765028,0.10178096539162113,0.13749533242258652,0.12566074681238618,0.1093191029143898,0.10173235428051002,0.1633809198542805,0.10665790072859746,0.11159494535519125,0.1070655737704918,0.18500796903460837,0.10848565573770491,0.11320571493624772
1989-12-31,0.1513183789954338,0.1473686073059361,0.135587899543379,0.14429691780821918,0.1233953196347032,0.15787020547945205,0.1630332191780822,0.12490194063926942,0.12312922374429225,0.12401255707762555,0.10780228310502282,0.11154611872146118,0.17392545662100456,0.09516883561643835,0.17230513698630137,0.14113378995433792,0.10457363013698631,0.14112431506849316,0.12593789954337897,0.11488173515981735,0.09908002283105023,0.16790308219178082,0.10534805936073059,0.12380308219178084,0.1065373287671233,0.18999634703196347,0.12062979452054795,0.11527454337899543
