time,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
1980-12-31,0.0824789389799635,0.3282587659380692,0.0845655737704918,0.0282104963570127,0.1987340619307832,0.240276183970856,0.4033771630236794,0.2750022768670309,0.126893897996357,0.178797131147541,0.2131183970856102,0.0906032559198542,0.1547413479052823,0.3526288706739526,0.0737150500910746,0.2590664845173042,0.2725621584699453,0.254350295992714,0.4059557149362477,0.3667875683060109,0.1334446721311475,0.2739343123861567,0.1459833788706739,0.0961328551912568,0.171290072859745,0.0504808743169398,0.1116560792349726,0.3695706967213115
1981-12-31,0.0913071917808219,0.3059755707762557,0.1009012557077625,0.0329335616438356,0.2072907534246575,0.2348130136986301,0.4150342465753424,0.3062245433789954,0.1306257990867579,0.2148237442922374,0.2088533105022831,0.0951877853881278,0.1725848173515981,0.3458114155251141,0.0795809360730593,0.2665482876712329,0.254433105022831,0.2745844748858447,0.3800897260273972,0.3465946347031963,0.1432754566210045,0.2807917808219178,0.1484066210045662,0.1147146118721461,0.1966942922374429,0.049329908675799,0.1247995433789954,0.3675817351598173
1982-12-31,0.0679792237442922,0.3065054794520547,0.0800328767123287,0.0279883561643835,0.1679699771689497,0.2086971461187214,0.3958526255707762,0.3395216894977169,0.1200761415525114,0.2428141552511415,0.2014888127853881,0.089305707762557,0.1365696347031963,0.3694789954337899,0.0664570776255707,0.252466210045662,0.2455509132420091,0.2840939497716895,0.3608586757990867,0.3423791095890411,0.1718834474885844,0.2316616438356164,0.1331671232876712,0.0870783105022831,0.214018607305936,0.0536390410958904,0.1026921232876712,0.3745486301369863
1983-12-31,0.0858893835616438,0.3398796803652968,0.0932477168949771,0.0321188356164383,0.2105577625570776,0.2530281963470319,0.4600755707762557,0.3688592465753424,0.1127739726027397,0.2328136986301369,0.2137184931506849,0.0903165525114155,0.1587598173515982,0.3550415525114155,0.0738456621004566,0.3090952054794521,0.2804305936073059,0.3296939497716895,0.3471593607305936,0.3858313926940639,0.1743297945205479,0.3022922374429224,0.1381474885844749,0.1053034246575342,0.2390450913242009,0.0528832191780821,0.1229910958904109,0.3852874429223744
1984-12-31,0.0753786429872495,0.2991460610200364,0.076705373406193,0.0316046220400728,0.1834375,0.2211518670309654,0.4256383196721311,0.2773493852459016,0.1351491347905282,0.1903072632058288,0.2098105646630237,0.1049372723132969,0.1535546448087431,0.3119793943533698,0.0783645264116575,0.2566016621129326,0.2405527094717668,0.2555836748633879,0.3628164845173042,0.3356865892531876,0.1592896174863388,0.2598482468123861,0.1523987932604736,0.1002117486338797,0.1807675318761384,0.0629816712204007,0.1128500683060109,0.3376111111111111
1985-12-31,0.0769659817351598,0.3074474885844748,0.0954735159817351,0.0248672374429223,0.1881393835616438,0.2217704337899543,0.3889300228310502,0.2847496575342466,0.1193320776255707,0.2020445205479452,0.1898381278538812,0.0900463470319634,0.1502776255707762,0.3384642694063927,0.0671579908675799,0.2432140410958904,0.2511364155251141,0.2456333333333333,0.3436246575342466,0.3440561643835616,0.1419559360730593,0.2539713470319635,0.152659703196347,0.109055707762557,0.1865003424657534,0.0540828767123287,0.1040843607305936,0.3534115296803653
1986-12-31,0.0745029680365296,0.3406130136986301,0.0761002283105022,0.0325268264840182,0.1885221461187214,0.2392872146118721,0.4453308219178082,0.3219672374429224,0.1185254566210045,0.2253522831050228,0.2113901826484018,0.0822268264840182,0.1369752283105023,0.4048340182648401,0.0688160958904109,0.2793204337899543,0.2715837899543379,0.2861069634703196,0.366483904109589,0.3881224885844749,0.1649308219178082,0.2781723744292237,0.1332560502283105,0.0910519406392694,0.2144655251141552,0.0502077625570776,0.101718607305936,0.4288642694063927
1987-12-31,0.0778619863013698,0.2786735159817351,0.0863374429223744,0.024811301369863,0.1770994292237443,0.2051341324200913,0.3962937214611872,0.318273401826484,0.1205009132420091,0.2127859589041096,0.1894755707762557,0.0967627853881278,0.1501125570776255,0.3220094748858447,0.0715014840182648,0.2669231735159817,0.2351732876712328,0.2763011415525114,0.3537520547945205,0.3163386986301369,0.1553502283105022,0.2630772831050228,0.1481955479452054,0.0971106164383561,0.1975239726027397,0.0517711187214611,0.1124922374429223,0.3210360730593607
1988-12-31,0.0831827185792349,0.3307315573770492,0.0921519808743169,0.0325013661202185,0.1972775500910746,0.2500447404371584,0.440831397996357,0.3407538706739526,0.1222554644808743,0.2135442850637522,0.2172460154826958,0.090069785974499,0.1515514571948998,0.3526429872495446,0.0712526183970856,0.281503529143898,0.2737706056466302,0.2950612477231329,0.3569984061930783,0.3867283697632058,0.1515560109289617,0.2823438069216758,0.150300660291439,0.1053395947176684,0.1956622267759562,0.0491613160291439,0.1101512978142076,0.373816029143898
1989-12-31,0.0705334474885844,0.2762889269406393,0.089860502283105,0.0225825342465753,0.1715843607305936,0.2105006849315068,0.4387610730593607,0.3386670091324201,0.1271270547945205,0.2392727168949771,0.1875051369863014,0.0775930365296803,0.1385309360730593,0.3535141552511415,0.0564610730593607,0.2801386986301369,0.2157962328767123,0.2932487442922374,0.3132207762557077,0.3351012557077625,0.1817638127853881,0.2706108447488584,0.1612099315068493,0.100674200913242,0.2320020547945205,0.0450916666666666,0.1005671232876712,0.3646188356164384
