time,AT,BE,BG,CZ,DE,DK,EE,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SK
2005-12-31,6896.4,8737.1,4598.2,6189.3,46267.9,3120.4,822.1,25417.7,9331.3,53223.2,1724.8,4078.5,2879.0,28148.0,981.9,574.2,677.8,10611.4,14384.5,14189.7,5508.9,5206.7,15671.7,3003.0
2006-12-31,7097.5,9096.7,4487.4,6251.3,46861.8,3232.2,801.4,25589.7,9485.9,60403.7,1709.5,3904.1,2867.8,28616.9,994.7,627.9,677.4,11026.6,17269.7,14758.5,5280.0,5347.4,16370.5,2986.6
2007-12-31,5524.3,7392.4,4010.0,5350.9,36319.1,2474.0,648.2,20169.6,8451.4,44470.2,1361.8,3386.6,2586.5,21381.3,807.1,475.5,536.9,8704.3,14083.7,11420.0,4175.9,4279.1,13575.4,2706.1
2008-12-31,6362.4,8302.9,4600.8,6123.4,41766.0,2817.2,731.9,23443.3,9483.3,60219.2,1681.9,3859.2,2451.0,24262.9,912.8,529.5,613.1,9734.3,14402.1,13295.2,4947.0,4983.3,14971.9,2925.1
2009-12-31,6481.5,9059.4,4844.3,6559.6,43340.8,2950.6,776.4,21519.1,9730.1,59244.7,1687.8,3958.2,2802.4,24332.8,931.2,547.0,625.7,9982.0,16679.6,13989.0,4404.0,5148.5,16362.3,3053.3
2010-12-31,6154.1,9005.4,3680.0,6004.8,43049.0,3231.5,912.6,22814.3,10508.5,58475.8,1450.9,3675.3,3098.5,23794.8,960.6,546.7,673.7,10203.6,16486.8,13689.7,4743.0,4551.1,17387.5,2801.8
2011-12-31,7259.6,9435.8,4979.4,6652.2,48122.4,3220.3,875.2,24555.1,10396.9,65141.9,1841.2,4278.6,2962.2,28055.4,1010.4,599.7,694.2,11014.2,17152.3,14658.1,5039.0,5566.3,16915.5,3180.3
2012-12-31,6810.3,8102.1,4802.6,6017.3,44309.8,2952.0,830.7,25077.4,9959.3,48051.7,1789.1,3969.8,2912.2,28610.8,1014.6,593.3,690.0,10275.2,14910.1,14742.8,5308.7,5442.7,15990.7,3051.7
2013-12-31,6169.4,7952.1,4599.2,5946.7,39752.6,2657.9,679.8,21992.4,8338.4,50661.6,1622.6,3810.4,2656.2,23889.5,867.0,516.0,570.3,9227.3,13257.2,12807.5,4614.2,5014.8,13501.4,2878.5
2014-12-31,6193.3,7908.2,4357.3,5943.2,41044.2,2714.6,718.7,21461.2,8439.2,48894.2,1498.2,3696.7,2650.7,24095.4,896.3,528.1,603.6,9277.8,13713.8,13084.7,4406.7,4804.1,13771.6,2803.8
2015-12-31,6313.6,8630.7,5520.7,6056.7,41770.5,2624.7,679.1,23430.3,8240.7,63387.7,1811.9,3927.6,2420.1,24914.7,870.1,542.2,572.1,9641.3,12568.0,13210.6,4958.5,5414.3,12735.2,2961.9
2016-12-31,6270.2,8237.4,5265.4,6308.9,41723.1,2820.4,864.6,21283.7,9260.7,51381.4,1701.5,3985.6,2721.2,24434.3,1009.6,527.4,699.0,9573.8,12528.1,14308.7,4458.7,5370.7,14056.9,3078.3
2017-12-31,7339.3,9813.6,5113.8,6691.7,48278.2,3010.1,737.1,27552.5,9750.3,71059.2,1887.9,4128.8,3023.4,29235.1,958.1,656.1,625.2,11326.9,15432.2,14854.9,5762.0,5643.2,15523.3,3197.1
2018-12-31,5615.0,7577.8,3983.3,5498.6,36687.9,2555.3,664.2,20564.5,8560.4,47598.6,1391.7,3364.5,2558.6,21545.2,812.1,481.2,546.5,8839.1,14809.3,11412.4,4396.4,4269.4,13656.6,2671.3
2019-12-31,5912.9,7910.5,4462.0,5665.3,39583.2,2602.5,690.6,22317.4,8688.2,52424.0,1584.2,3708.7,2509.6,23721.0,866.8,514.7,577.2,9180.1,15081.3,12707.5,4761.6,4770.0,13792.8,2810.9
2020-12-31,6209.7,8541.0,4404.5,6017.9,41926.0,2675.1,689.1,22816.1,8845.6,56157.6,1605.5,3770.8,2605.1,24045.8,872.1,550.3,578.8,9825.8,14589.8,13036.1,4923.5,4824.3,13006.9,2833.8
