time,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
1980-12-31,0.133700591985428,0.1097118624772313,0.150311475409836,0.1468119307832422,0.1136273907103825,0.1132986111111111,0.1142950819672131,0.1057686703096539,0.1773274134790528,0.0980972222222222,0.1332742486338798,0.1373620218579234,0.1280535063752277,0.1064568533697632,0.1563541666666666,0.0956450364298724,0.109299635701275,0.0998605418943533,0.1857197176684881,0.1114418260473588,0.1035434881602914,0.1027320127504553,0.1769038023679417,0.1312571721311475,0.1042161885245901,0.1276256830601093,0.1163625910746812,0.1067411202185792
1981-12-31,0.1346674657534246,0.1049196347031963,0.1542389269406393,0.1456326484018265,0.1150578767123287,0.1100784246575342,0.1152981735159817,0.1041221461187214,0.1783155251141552,0.0906744292237442,0.1306885844748858,0.1465719178082191,0.1362317351598173,0.1041433789954338,0.1623512557077625,0.1015031963470319,0.1070868721461187,0.1027582191780822,0.1888450913242009,0.1058833333333333,0.0993409817351598,0.1079211187214611,0.1779404109589041,0.1349575342465753,0.102362100456621,0.1385737442922374,0.1223334474885844,0.1062031963470319
1982-12-31,0.1393889269406392,0.1188964611872146,0.1517528538812785,0.1490291095890411,0.1286018264840182,0.123085502283105,0.1216840182648401,0.1112977168949771,0.1736270547945205,0.095925,0.1363639269406392,0.1430108447488584,0.1374606164383561,0.1088236301369863,0.1576528538812785,0.1089667808219178,0.1196792237442922,0.1091907534246575,0.1804237442922374,0.1193336757990867,0.1008884703196347,0.1212385844748858,0.1756296803652968,0.1412366438356164,0.1045481735159817,0.1336638127853881,0.1315351598173516,0.110146803652968
1983-12-31,0.1406409817351598,0.1169002283105022,0.1565708904109589,0.1496268264840182,0.1196809360730593,0.1152425799086758,0.1122237442922374,0.1025388127853881,0.1776454337899543,0.0880627853881278,0.1387400684931506,0.1499172374429223,0.139060502283105,0.1054509132420091,0.1624570776255707,0.1031142694063926,0.115887899543379,0.1018418949771689,0.1858837899543379,0.1159930365296803,0.088554908675799,0.1109235159817351,0.1711009132420091,0.1415753424657534,0.0941421232876712,0.1436971461187214,0.1261704337899543,0.1082253424657534
1984-12-31,0.1371051912568306,0.1117167577413479,0.1487004781420765,0.1525035291438979,0.115228825136612,0.1122291666666666,0.1135217440801457,0.1054849726775956,0.1727587659380692,0.0917208561020036,0.1371549408014572,0.138507058287796,0.1307602459016393,0.1122892759562841,0.1572420309653916,0.1026410519125683,0.1114160974499089,0.1034256602914389,0.187733606557377,0.1098979963570127,0.0956007513661202,0.1089368169398907,0.1719570810564663,0.1352818761384335,0.0966066712204007,0.1304308970856102,0.120738160291439,0.1120626138433515
1985-12-31,0.1402157534246575,0.1176163242009132,0.1551349315068493,0.1569570776255707,0.1195633561643835,0.1173980593607305,0.1135446347031963,0.1040054794520548,0.1780655251141552,0.0942997716894977,0.1442781963470319,0.1463716894977169,0.1366537671232876,0.1055784246575342,0.1608832191780821,0.103220205479452,0.1214311643835616,0.1046804794520547,0.1867971461187214,0.1120124429223744,0.1018781963470319,0.1081454337899543,0.1742384703196347,0.1420791095890411,0.1023506849315068,0.1365955479452054,0.1221970319634703,0.1070410958904109
1986-12-31,0.1426402968036529,0.1178835616438356,0.1550124429223744,0.1522982876712328,0.1217496575342465,0.1167817351598173,0.1170601598173515,0.1089801369863013,0.1745981735159817,0.0922138127853881,0.1370737442922374,0.1440776255707762,0.1414553652968036,0.1108609589041095,0.15969600456621,0.1051614155251141,0.1156876712328767,0.1057908675799086,0.1834471461187214,0.1176380136986301,0.1005197488584474,0.1153970319634703,0.1743409817351598,0.1431865296803653,0.1023360730593607,0.1377005707762557,0.1319068493150685,0.111275
1987-12-31,0.1358659817351598,0.114054908675799,0.149911301369863,0.1487672374429224,0.1155245433789954,0.1123649543378995,0.1138872146118721,0.1099248858447488,0.1714737442922374,0.0903095890410958,0.1345923515981735,0.1445525114155251,0.1346255707762557,0.1061810502283105,0.1607304794520548,0.1117432648401826,0.1155092465753424,0.1113147260273972,0.1871811643835616,0.112595205479452,0.0999630136986301,0.1119271689497716,0.1677606164383561,0.1374212328767123,0.0992535388127853,0.1363418949771689,0.1249819634703196,0.1066106164383561
1988-12-31,0.1380973360655737,0.1098146630236794,0.1538818306010929,0.1451229508196721,0.1197907559198542,0.1126855646630236,0.115445810564663,0.1058582650273224,0.1760446265938069,0.0935578324225865,0.1352907559198543,0.1476080373406193,0.1385321038251366,0.1084031193078324,0.1633809198542805,0.1066579007285974,0.1115949453551912,0.1070655737704918,0.1850079690346083,0.1084856557377049,0.10173235428051,0.1132057149362477,0.1743606557377049,0.1382353142076502,0.1017809653916211,0.1374953324225865,0.1256607468123861,0.1093191029143898
1989-12-31,0.1442969178082191,0.1233953196347032,0.157870205479452,0.1630332191780822,0.1249019406392694,0.1231292237442922,0.1240125570776255,0.1078022831050228,0.1739254566210045,0.0951688356164383,0.1513183789954338,0.1473686073059361,0.135587899543379,0.1115461187214611,0.1679030821917808,0.1053480593607305,0.1238030821917808,0.1065373287671233,0.1899963470319634,0.1206297945205479,0.0990800228310502,0.1152745433789954,0.1723051369863013,0.1411337899543379,0.1045736301369863,0.1411243150684931,0.1259378995433789,0.1148817351598173
1990-12-31,0.143043607305936,0.1251996575342465,0.162995205479452,0.1568536529680365,0.1247014840182648,0.122525,0.1222205479452054,0.1078961187214611,0.1777696347031963,0.0985641552511415,0.1460562785388127,0.1522716894977169,0.1433487442922374,0.111417808219178,0.1658818493150685,0.107996803652968,0.1240478310502283,0.1077780821917808,0.1854621004566209,0.1208885844748858,0.1011511415525114,0.1158162100456621,0.1766681506849315,0.1492119863013698,0.102799200913242,0.1434206621004566,0.129787899543379,0.1145632420091324
1991-12-31,0.141108105022831,0.123029109589041,0.1477714611872146,0.1601867579908676,0.1237643835616438,0.1253408675799087,0.1201880136986301,0.104592808219178,0.1753686073059361,0.0890423515981735,0.1446737442922374,0.1479402968036529,0.1367320776255707,0.1082159817351598,0.1647373287671232,0.1073554794520547,0.1274780821917808,0.1054777397260273,0.1856449771689497,0.1208860730593607,0.1017052511415525,0.1152727168949771,0.1773106164383561,0.1363914383561643,0.1005974885844748,0.1390469178082191,0.126131506849315,0.1103329908675799
