time,FR,HR,HU,AT,BE,BG,CH,CZ,DE,DK,EE,IE,ES,FI,PT,RO,SE,SI,SK,UK,NO,IT,LT,LU,LV,MT,NL,PL
1980-12-31,0.2131183970856102,0.09060325591985428,0.15474134790528235,0.08247893897996357,0.32825876593806924,0.0845655737704918,0.028210496357012747,0.19873406193078325,0.24027618397085607,0.40337716302367943,0.27500227686703094,0.35262887067395265,0.126893897996357,0.178797131147541,0.14598337887067395,0.09613285519125683,0.171290072859745,0.050480874316939886,0.11165607923497269,0.3695706967213115,0.13344467213114755,0.07371505009107468,0.2590664845173042,0.27256215846994536,0.254350295992714,0.4059557149362477,0.36678756830601095,0.2739343123861567
1981-12-31,0.20885331050228312,0.09518778538812786,0.17258481735159817,0.09130719178082192,0.3059755707762557,0.10090125570776255,0.03293356164383562,0.20729075342465753,0.23481301369863014,0.41503424657534244,0.30622454337899546,0.34581141552511413,0.13062579908675798,0.21482374429223744,0.1484066210045662,0.11471461187214611,0.19669429223744292,0.04932990867579909,0.12479954337899542,0.36758173515981735,0.14327545662100458,0.07958093607305937,0.2665482876712329,0.254433105022831,0.27458447488584475,0.3800897260273972,0.34659463470319635,0.2807917808219178
1982-12-31,0.2014888127853881,0.08930570776255707,0.13656963470319633,0.06797922374429224,0.30650547945205475,0.08003287671232877,0.02798835616438356,0.16796997716894976,0.20869714611872145,0.3958526255707762,0.3395216894977169,0.3694789954337899,0.12007614155251141,0.24281415525114156,0.13316712328767125,0.08707831050228311,0.21401860730593608,0.05363904109589041,0.10269212328767123,0.3745486301369863,0.17188344748858447,0.06645707762557078,0.25246621004566205,0.24555091324200912,0.2840939497716895,0.36085867579908676,0.3423791095890411,0.23166164383561644
1983-12-31,0.21371849315068492,0.09031655251141553,0.1587598173515982,0.08588938356164383,0.3398796803652968,0.09324771689497717,0.03211883561643836,0.21055776255707764,0.25302819634703194,0.4600755707762557,0.36885924657534247,0.35504155251141556,0.11277397260273972,0.23281369863013698,0.1381474885844749,0.10530342465753424,0.2390450913242009,0.05288321917808219,0.12299109589041096,0.38528744292237443,0.17432979452054795,0.07384566210045662,0.3090952054794521,0.28043059360730593,0.32969394977168953,0.3471593607305936,0.3858313926940639,0.3022922374429224
1984-12-31,0.2098105646630237,0.1049372723132969,0.15355464480874317,0.07537864298724954,0.29914606102003644,0.07670537340619307,0.03160462204007286,0.1834375,0.2211518670309654,0.4256383196721311,0.27734938524590164,0.3119793943533698,0.13514913479052823,0.1903072632058288,0.1523987932604736,0.10021174863387979,0.18076753187613845,0.06298167122040073,0.11285006830601092,0.33761111111111114,0.1592896174863388,0.07836452641165756,0.2566016621129326,0.24055270947176682,0.25558367486338796,0.3628164845173042,0.3356865892531876,0.25984824681238616
1985-12-31,0.18983812785388127,0.09004634703196347,0.15027762557077626,0.07696598173515981,0.30744748858447485,0.09547351598173516,0.024867237442922373,0.18813938356164384,0.22177043378995434,0.3889300228310502,0.2847496575342466,0.3384642694063927,0.11933207762557077,0.20204452054794522,0.15265970319634703,0.10905570776255707,0.18650034246575342,0.05408287671232877,0.1040843607305936,0.3534115296803653,0.14195593607305937,0.06715799086757991,0.2432140410958904,0.2511364155251141,0.24563333333333334,0.3436246575342466,0.3440561643835616,0.2539713470319635
1986-12-31,0.21139018264840184,0.08222682648401827,0.1369752283105023,0.07450296803652967,0.3406130136986301,0.07610022831050228,0.032526826484018265,0.18852214611872145,0.23928721461187213,0.4453308219178082,0.3219672374429224,0.40483401826484017,0.11852545662100455,0.22535228310502284,0.13325605022831052,0.09105194063926941,0.21446552511415526,0.05020776255707762,0.10171860730593607,0.4288642694063927,0.16493082191780822,0.06881609589041095,0.27932043378995436,0.2715837899543379,0.28610696347031966,0.36648390410958903,0.3881224885844749,0.27817237442922377
1987-12-31,0.1894755707762557,0.09676278538812785,0.15011255707762558,0.07786198630136987,0.2786735159817351,0.08633744292237443,0.024811301369863016,0.1770994292237443,0.20513413242009132,0.3962937214611872,0.318273401826484,0.32200947488584475,0.12050091324200912,0.2127859589041096,0.14819554794520548,0.09711061643835615,0.1975239726027397,0.05177111872146119,0.11249223744292237,0.3210360730593607,0.15535022831050227,0.07150148401826484,0.2669231735159817,0.23517328767123288,0.27630114155251145,0.35375205479452054,0.31633869863013697,0.2630772831050228
1988-12-31,0.21724601548269581,0.09006978597449909,0.15155145719489982,0.08318271857923497,0.3307315573770492,0.09215198087431693,0.03250136612021858,0.19727755009107467,0.25004474043715846,0.440831397996357,0.34075387067395263,0.3526429872495446,0.12225546448087432,0.21354428506375225,0.150300660291439,0.10533959471766849,0.19566222677595627,0.0491613160291439,0.11015129781420764,0.373816029143898,0.15155601092896176,0.07125261839708562,0.281503529143898,0.27377060564663025,0.29506124772313297,0.3569984061930783,0.38672836976320585,0.2823438069216758
1989-12-31,0.1875051369863014,0.07759303652968037,0.13853093607305936,0.07053344748858448,0.2762889269406393,0.08986050228310502,0.022582534246575345,0.1715843607305936,0.21050068493150687,0.43876107305936074,0.3386670091324201,0.35351415525114155,0.12712705479452055,0.23927271689497717,0.1612099315068493,0.100674200913242,0.23200205479452055,0.04509166666666666,0.10056712328767123,0.3646188356164384,0.1817638127853881,0.05646107305936073,0.28013869863013696,0.21579623287671232,0.2932487442922374,0.31322077625570777,0.33510125570776256,0.27061084474885844
